eid,name,position,salary,department,location,hire_date,performance_score,years_of_experience
65,Eve_7,Engineer,148947.95,HR,New York,2015-07-22,3.66,29
66,Frank_7,HR Specialist,149752.98,Finance,Boston,2002-12-29,3.41,17
67,Grace_7,HR Specialist,148634.1,HR,Austin,2003-08-03,2.61,23
68,Hank_7,Manager,58481.97,HR,Austin,2015-12-16,3.06,28
69,Ivy_7,HR Specialist,93182.16,Sales,San Francisco,2015-12-25,1.64,9
70,Jack_7,Salesperson,60236.13,Engineering,Chicago,2019-08-31,1.99,20
71,Alice_8,Engineer,109857.1,Engineering,Austin,2013-11-28,2.9,4
72,Bob_8,Marketing Analyst,143767.41,Marketing,Boston,2020-09-17,3.34,29
73,Charlie_8,Engineer,117161.39,Sales,Austin,2000-07-01,2.39,4
74,David_8,Manager,123117.21,Marketing,Austin,2017-05-11,1.45,1
75,Eve_8,Engineer,130970.25,HR,New York,2008-11-21,2.26,3
76,Frank_8,HR Specialist,78833.48,Marketing,New York,2017-04-28,1.99,3
77,Grace_8,Manager,80231.31,Finance,New York,2023-06-04,2.74,4
78,Hank_8,Marketing Analyst,59118.01,Engineering,New York,2012-11-09,3.85,9
79,Ivy_8,Manager,55455.45,Sales,New York,2023-04-25,3.99,1
80,Jack_8,HR Specialist,93149.57,Engineering,San Francisco,2004-07-22,3.5,21
81,Alice_9,Manager,68094.54,Engineering,San Francisco,2019-08-06,3.13,24
82,Bob_9,Engineer,136037.3,HR,San Francisco,2023-01-13,4.93,10
83,Charlie_9,Manager,136373.75,Engineering,Chicago,2005-04-18,2.06,11
84,David_9,Manager,106449.11,Marketing,Boston,2019-01-06,2.84,4
85,Eve_9,Manager,59612.02,HR,Chicago,2002-05-19,1.12,23
86,Frank_9,Marketing Analyst,118544.98,Marketing,Boston,2008-08-26,3.41,23
87,Grace_9,Manager,145076.85,Sales,New York,2008-01-14,3.49,30
88,Hank_9,Salesperson,95708.91,Sales,Chicago,2023-03-01,1.95,3
89,Ivy_9,Engineer,58950.37,Finance,New York,2001-12-20,1.19,23
90,Jack_9,Engineer,96945.93,Finance,New York,2004-03-01,1.36,3
91,Alice_10,Engineer,85442.23,Marketing,Boston,2021-01-28,3.89,19
92,Bob_10,Salesperson,145350.28,Marketing,San Francisco,2009-12-22,2.08,22
93,Charlie_10,Salesperson,82847.9,Marketing,Austin,2005-08-08,1.19,2
94,David_10,Marketing Analyst,148650.0,Marketing,San Francisco,2008-04-07,3.42,24
95,Eve_10,Marketing Analyst,56371.97,Finance,Austin,2012-01-26,2.78,23
96,Frank_10,Engineer,85512.46,Sales,San Francisco,2012-04-27,1.76,26
97,Grace_10,Engineer,97750.02,Sales,Chicago,2000-08-03,3.56,15
98,Hank_10,Marketing Analyst,121439.6,HR,Austin,2001-03-28,3.25,15
99,Ivy_10,Engineer,132373.44,Marketing,New York,2011-10-18,1.42,24
100,Jack_10,Manager,96872.46,Marketing,Chicago,2014-06-02,1.83,19
